950,20,66,1,1,1
950,20,72,1,1,1
950,20,86,1,1,1
950,20,74,1,1,1
950,20,92,1,1,1
950,20,60,1,1,1
950,20,84,1,1,1
950,20,70,1,1,1
950,20,77,1,1,1
950,20,59,1,1,1
950,20,81,1,1,1
950,20,81,1,1,1
950,20,62,1,1,1
950,20,68,1,1,1
950,20,77,1,1,1
950,20,57,1,1,1
950,20,60,1,1,1
950,20,55,1,1,1
950,20,73,1,1,1
950,20,60,1,1,1
950,20,56,1,1,1
950,20,51,1,1,1
950,20,68,1,1,1
950,20,53,1,1,1
950,20,77,1,1,1
950,20,61,1,1,1
950,20,71,1,1,1
950,20,69,1,1,1
950,20,80,1,1,1
950,20,76,1,1,1
950,20,97,1,1,1
950,20,61,1,1,1
950,20,79,1,1,1
950,20,66,1,1,1
950,20,74,1,1,1
950,20,56,1,1,1
950,20,72,1,1,1
950,20,80,1,1,1
950,20,66,1,1,1
950,20,54,1,1,1
950,20,83,1,1,1
950,20,59,1,1,1
950,20,73,1,1,1
950,20,58,1,1,1
950,20,69,1,1,1
950,20,54,1,1,1
950,20,50,1,1,1
950,20,51,1,1,1
950,20,67,1,1,1
950,20,59,1,1,1
